HDI rank,Country,1990,,2000,,2010,,2015,,2018,,2019,,2020,,2021,,2015-2021,a,1990-2000,,2000-2010,,2010-2021,,1990-2021,
,Very high human development,0.784,,0.826,,0.868,,0.889,,0.898,,0.902,,0.895,,0.896,,—,,0.52,,0.50,,0.29,,0.43,
,High human development,0.557,,0.625,,0.700,,0.734,,0.751,,0.756,,0.753,,0.754,,—,,1.16,,1.14,,0.68,,0.98,
,Medium human development,0.453,,0.506,,0.582,,0.627,,0.643,,0.645,,0.642,,0.636,,—,,1.11,,1.41,,0.81,,1.10,
,Low human development,0.356,b,0.399,,0.477,,0.506,,0.518,,0.522,,0.519,,0.518,,—,,1.15,,1.80,,0.75,,1.22,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Developing countries,0.513,,0.569,,0.638,,0.673,,0.687,,0.691,,0.687,,0.685,,—,,1.04,,1.15,,0.65,,0.94,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regions,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arab States,0.555,,0.618,,0.676,,0.697,,0.711,,0.715,,0.708,,0.708,,—,,1.08,,0.90,,0.42,,0.79,
,East Asia and the Pacific,0.507,,0.592,,0.684,,0.722,,0.741,,0.748,,0.748,,0.749,,—,,1.56,,1.45,,0.83,,1.27,
,Europe and Central Asia,0.664,,0.681,,0.746,,0.783,,0.798,,0.802,,0.793,,0.796,,—,,0.25,,0.92,,0.59,,0.59,
,Latin America and the Caribbean,0.633,,0.689,,0.733,,0.758,,0.766,,0.768,,0.755,,0.754,,—,,0.85,,0.62,,0.26,,0.57,
,South Asia,0.442,,0.500,,0.576,,0.623,,0.640,,0.641,,0.638,,0.632,,—,,1.24,,1.43,,0.85,,1.16,
,Sub-Saharan Africa,0.407,b,0.430,,0.503,,0.534,,0.547,,0.552,,0.549,,0.547,,—,,0.55,,1.58,,0.77,,0.96,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Least developed countries,0.357,,0.408,,0.487,,0.520,,0.537,,0.542,,0.542,,0.540,,—,,1.34,,1.79,,0.94,,1.34,
,Small island developing states,0.601,,0.649,,0.693,,0.723,,0.734,,0.738,,0.732,,0.730,,—,,0.77,,0.66,,0.47,,0.63,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Organisation for Economic Co-operation and Development,0.795,,0.840,,0.875,,0.893,,0.901,,0.905,,0.897,,0.899,,—,,0.55,,0.41,,0.25,,0.40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,0.601,,0.645,,0.697,,0.724,,0.736,,0.739,,0.735,,0.732,,—,,0.71,,0.78,,0.45,,0.64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
,"For HDI values that are comparable across years and countries, use this table or the interpolated data at https://hdr.undp.org/data-center, which present trends using consistent data.",,,,,,,,,,,,,,,,,,,,,,,,,,
,a. A positive value indicates an improvement in rank.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b. Value reported with relaxed aggregation rules. For details on aggregation rules, see Reader’s guide.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Human Development Index (HDI): A composite index measuring average achievement in three basic dimensions of human development—a long and healthy life, knowledge and a decent standard of living. See Technical note 1 at http://hdr.undp.org/sites/default/files/hdr2022_technical_notes.pdf for details on how the HDI is calculated.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average annual HDI growth: A smoothed annualized growth of the HDI in a given period, calculated as the annual compound growth rate.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main data sources,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Columns 1-8: HDRO calculations based on data from Barro and Lee (2018), IMF (2022), UNDESA (2022a), UNESCO Institute for Statistics (2022), United Nations Statistics Division (2022) and World Bank (2022).HDRO calculations based on data from Barro and Lee (2018), IMF (2022), UNDESA (2022a), UNESCO Institute for Statistics (2022), United Nations Statistics Division (2022) and World Bank (2022).",,,,,,,,,,,,,,,,,,,,,,,,,,
,Column 9: Calculated based on data in columns 4 and 8.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Columns 10-13: Calculated based on data in columns 1, 2, 3 and 8.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
